summary_line,timestamp,src_ip,dst_ip,ttl,length,protocol_num,protocol,src_port,dst_port,seq,ack,flags,window,protocol_info,security,qos,performance,summary
142.251.132.174:443 -> 192.168.0.5:57044 Proto: TCP,2025-05-11 21:48:16.954878,142.251.132.174,192.168.0.5,124,113,6,TCP,443,57044,4024852847,3010440586,"{'PSH': True, 'ACK': True}",1050,HTTPS,"{'encrypted': True, 'protocol': 'TLS/SSL'}","{'dscp': 0, 'ecn': 0, 'priority': 0, 'tos_value': 0}","{'packet_size': 127, 'header_overhead': 40}",TCP 142.251.132.174:443 -> 192.168.0.5:57044 [PA]
192.168.0.5:57044 -> 142.251.132.174:443 Proto: TCP,2025-05-11 21:48:16.955385,192.168.0.5,142.251.132.174,128,40,6,TCP,57044,443,3010440586,4024852920,"{'FIN': True, 'ACK': True}",253,HTTPS,"{'encrypted': True, 'protocol': 'TLS/SSL'}","{'dscp': 0, 'ecn': 0, 'priority': 0, 'tos_value': 0}","{'packet_size': 54, 'header_overhead': 40}",TCP 192.168.0.5:57044 -> 142.251.132.174:443 [FA]
142.251.132.174:443 -> 192.168.0.5:57044 Proto: TCP,2025-05-11 21:48:16.956912,142.251.132.174,192.168.0.5,124,40,6,TCP,443,57044,4024852920,3010440587,"{'FIN': True, 'ACK': True}",1050,HTTPS,"{'encrypted': True, 'protocol': 'TLS/SSL'}","{'dscp': 0, 'ecn': 0, 'priority': 0, 'tos_value': 0}","{'packet_size': 60, 'header_overhead': 40}",TCP 142.251.132.174:443 -> 192.168.0.5:57044 [FA]
192.168.0.5:57044 -> 142.251.132.174:443 Proto: TCP,2025-05-11 21:48:16.956912,192.168.0.5,142.251.132.174,128,40,6,TCP,57044,443,3010440587,4024852921,{'ACK': True},253,HTTPS,"{'encrypted': True, 'protocol': 'TLS/SSL'}","{'dscp': 0, 'ecn': 0, 'priority': 0, 'tos_value': 0}","{'packet_size': 54, 'header_overhead': 40}",TCP 192.168.0.5:57044 -> 142.251.132.174:443 [A]
192.168.0.5:50020 -> 35.186.224.30:443 Proto: TCP,2025-05-11 21:48:16.983837,192.168.0.5,35.186.224.30,128,75,6,TCP,50020,443,4107865708,1753846841,"{'PSH': True, 'ACK': True}",254,HTTPS,"{'encrypted': True, 'protocol': 'TLS/SSL'}","{'dscp': 0, 'ecn': 0, 'priority': 0, 'tos_value': 0}","{'packet_size': 89, 'header_overhead': 40}",TCP 192.168.0.5:50020 -> 35.186.224.30:443 [PA]
35.186.224.30:443 -> 192.168.0.5:50020 Proto: TCP,2025-05-11 21:48:16.986305,35.186.224.30,192.168.0.5,124,40,6,TCP,443,50020,1753846841,4107865743,{'ACK': True},1051,HTTPS,"{'encrypted': True, 'protocol': 'TLS/SSL'}","{'dscp': 24, 'ecn': 0, 'priority': 3, 'tos_value': 96}","{'packet_size': 60, 'header_overhead': 40}",TCP 35.186.224.30:443 -> 192.168.0.5:50020 [A]
192.168.0.5:56895 -> 142.251.132.142:443 Proto: TCP,2025-05-11 21:48:17.910486,192.168.0.5,142.251.132.142,128,1452,6,TCP,56895,443,1748292360,2326967627,{'ACK': True},4093,HTTPS,"{'encrypted': True, 'protocol': 'TLS/SSL'}","{'dscp': 0, 'ecn': 0, 'priority': 0, 'tos_value': 0}","{'packet_size': 1466, 'header_overhead': 40}",TCP 192.168.0.5:56895 -> 142.251.132.142:443 [A]
192.168.0.5:56895 -> 142.251.132.142:443 Proto: TCP,2025-05-11 21:48:17.910486,192.168.0.5,142.251.132.142,128,1452,6,TCP,56895,443,1748293772,2326967627,{'ACK': True},4093,HTTPS,"{'encrypted': True, 'protocol': 'TLS/SSL'}","{'dscp': 0, 'ecn': 0, 'priority': 0, 'tos_value': 0}","{'packet_size': 1466, 'header_overhead': 40}",TCP 192.168.0.5:56895 -> 142.251.132.142:443 [A]
192.168.0.5:56895 -> 142.251.132.142:443 Proto: TCP,2025-05-11 21:48:17.912017,192.168.0.5,142.251.132.142,128,95,6,TCP,56895,443,1748295184,2326967627,"{'PSH': True, 'ACK': True}",4093,HTTPS,"{'encrypted': True, 'protocol': 'TLS/SSL'}","{'dscp': 0, 'ecn': 0, 'priority': 0, 'tos_value': 0}","{'packet_size': 109, 'header_overhead': 40}",TCP 192.168.0.5:56895 -> 142.251.132.142:443 [PA]
192.168.0.5:56895 -> 142.251.132.142:443 Proto: TCP,2025-05-11 21:48:17.912017,192.168.0.5,142.251.132.142,128,79,6,TCP,56895,443,1748295239,2326967627,"{'PSH': True, 'ACK': True}",4093,HTTPS,"{'encrypted': True, 'protocol': 'TLS/SSL'}","{'dscp': 0, 'ecn': 0, 'priority': 0, 'tos_value': 0}","{'packet_size': 93, 'header_overhead': 40}",TCP 192.168.0.5:56895 -> 142.251.132.142:443 [PA]
